nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.0961269,139
200,200,1,2,0.09917,139
200,200,1,3,0.0939135,139
200,200,2,1,0.0592139,139
200,200,2,2,0.056893,139
200,200,2,3,0.0620699,139
200,200,4,1,0.0501033,139
200,200,4,2,0.0538309,139
200,200,4,3,0.0541944,139
200,200,8,1,0.0497308,139
200,200,8,2,0.0561439,139
200,200,8,3,0.0447002,139
200,200,16,1,0.0473918,139
200,200,16,2,0.0439529,139
200,200,16,3,0.0447772,139
200,200,32,1,0.0516678,139
200,200,32,2,0.0485688,139
200,200,32,3,0.0457679,139
200,200,64,1,0.0453274,139
200,200,64,2,0.0419461,139
200,200,64,3,0.045457,139
200,200,128,1,0.0571523,139
200,200,128,2,0.0447351,139
200,200,128,3,0.0404491,139
200,200,192,1,0.0444736,139
200,200,192,2,0.0450749,139
200,200,192,3,0.0561493,139
200,200,256,1,0.044201,139
200,200,256,2,0.0438708,139
200,200,256,3,0.0446409,139
200,200,384,1,0.0418049,139
200,200,384,2,0.0555514,139
200,200,384,3,0.0419325,139
200,200,512,1,0.0450283,139
200,200,512,2,0.0431899,139
200,200,512,3,0.043069,139
200,200,640,1,0.0557546,139
200,200,640,2,0.041881,139
200,200,640,3,0.0596373,139
200,200,768,1,0.0479175,139
200,200,768,2,0.0440055,139
200,200,768,3,0.0574907,139
200,200,896,1,0.0454075,139
200,200,896,2,0.0447742,139
200,200,896,3,0.0417392,139
200,200,1024,1,0.0418318,139
200,200,1024,2,0.0579503,139
200,200,1024,3,0.0438145,139
